GEOID,Neighborhoods_Code
"36047019900",Clinton Hill
"36047020000",Dyker Heights
"36047020300",Prospect Heights
"36005020601",Westchester-Unionport
"36047020400",Dyker Heights
"36047020600",Dyker Heights
"36047020700",Prospect Heights
"36005026300",Kingsbridge Heights
"36005029700",Spuyten Duyvil-Kingsbridge
"36005043100",Norwood
"36005042000",Williamsbridge-Olinville
"36005015800",Schuylerville-Throgs Neck-Edgewater Park
"36005007400",Soundview-Castle Hill-Clason Point-Harding Park
"36005028800",Pelham Parkway
"36005022902",Mount Hope
"36005013300",Morrisania-Melrose
"36005017100",park-cemetery-etc-Bronx
"36005045101",Woodlawn-Wakefield
"36005008300",Longwood
"36005040400",Williamsbridge-Olinville
"36005046000",Eastchester-Edenwald-Baychester
"36005022800",Pelham Parkway
"36005025200",Van Nest-Morris Park-Westchester Square
"36005023501",Mount Hope
"36005036501",East Tremont
"36005021601",West Farms-Bronx River
"36005040304",Van Cortlandt Village
"36005003800",Soundview-Castle Hill-Clason Point-Harding Park
"36005020400",Westchester-Unionport
"36005003300",Mott Haven-Port Morris
"36047021800",Borough Park
"36005037100",East Tremont
"36005013100",Longwood
"36047020800",Dyker Heights
"36047021000",Dyker Heights
"36047021400",Borough Park
"36047021900",Crown Heights North
"36081019400",South Jamaica
"36081020500",Hunters Point-Sunnyside-West Maspeth
"36081095400",Hammels-Arverne-Edgemere
"36081127700",Jamaica Estates-Holliswood
"36081042400",St. Albans
"36081025400",South Jamaica
"36081062200",Cambria Heights
"36081079702",Flushing
"36081990100",park-cemetery-etc-Queens
"36081030600",Springfield Gardens South-Brookville
"36081013200",Richmond Hill
"36081012200",Richmond Hill
"36081012301",Steinway
"36081012400",Richmond Hill
"36081012602",Richmond Hill
"36081013700",Steinway
"36081013400",Kew Gardens
"36081013500",Steinway
"36081013600",Kew Gardens
"36081013800",Kew Gardens
"36081014000",Kew Gardens
"36081014202",Richmond Hill
"36081015400",Richmond Hill
"36081014500",Astoria
"36081015000",Richmond Hill
"36081015200",Richmond Hill
"36081015500",Astoria
"36081018502",Hunters Point-Sunnyside-West Maspeth
"36081015600",Richmond Hill
"36081015700",Astoria
"36081014700",Astoria
"36081014800",Richmond Hill
"36081014900",Astoria
"36081016300",Astoria
"36081016600",South Ozone Park
"36081016800",South Ozone Park
"36081017200",South Ozone Park
"36081016900",Hunters Point-Sunnyside-West Maspeth
"36081017000",South Ozone Park
"36081017100",Hunters Point-Sunnyside-West Maspeth
"36081017400",South Ozone Park
"36081017600",South Ozone Park
"36081018000",South Ozone Park
"36081025301",Hunters Point-Sunnyside-West Maspeth
"36081020800",Jamaica
"36081018200",Baisley Park
"36081025302",Hunters Point-Sunnyside-West Maspeth
"36081018401",Baisley Park
"36081018700",Hunters Point-Sunnyside-West Maspeth
"36081018402",Baisley Park
"36081018600",Baisley Park
"36081018800",Baisley Park
"36081026902",Elmhurst
"36081019200",Baisley Park
"36081030903",Jackson Heights
"36081019600",South Jamaica
"36081018900",Hunters Point-Sunnyside-West Maspeth
"36081019000",Baisley Park
"36081020400",Jamaica
"36081020600",Jamaica
"36081021200",Jamaica
"36081021400",Briarwood-Jamaica Hills
"36081021600",Kew Gardens
"36081023000",Briarwood-Jamaica Hills
"36081021900",Hunters Point-Sunnyside-West Maspeth
"36081022001",Briarwood-Jamaica Hills
"36081022900",park-cemetery-etc-Queens
"36081043701",Corona
"36081061302",Ridgewood
"36081071306",Forest Hills
"36081077906",Kew Gardens Hills
"36081057900",Glendale
"36081058000",Queens Village
"36081058100",Ridgewood
"36081058900",Ridgewood
"36081049200",Jamaica Estates-Holliswood
"36081090700",College Point
"36081091601",Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
"36081092800",Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
"36081092900",College Point
"36081091602",park-cemetery-etc-Queens
"36081091800",park-cemetery-etc-Queens
"36081092200",Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
"36081093800",Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
"36081049600",Queens Village
"36081049301",Maspeth
"36081049302",Maspeth
"36081049500",Maspeth
"36081059100",Ridgewood
"36081049700",Maspeth
"36081049900",Elmhurst
"36081060100",Maspeth
"36081059200",Cambria Heights
"36081059800",Cambria Heights
"36081059300",Ridgewood
"36081059400",Cambria Heights
"36081059500",Ridgewood
"36081059900",Maspeth
"36081060800",Cambria Heights
"36081060000",Cambria Heights
"36081060600",Cambria Heights
"36081060701",Middle Village
"36081061400",Cambria Heights
"36081061602",Rosedale
"36081051800",St. Albans
"36081051500",Maspeth
"36081051600",Queens Village
"36081051700",Maspeth
"36081050000",Hollis
"36081052100",Maspeth
"36081052200",St. Albans
"36081050201",Hollis
"36081051000",Hollis
"36081050500",Middle Village
"36081050700",Middle Village
"36081050800",Hollis
"36081051100",Maspeth
"36081062000",Laurelton
"36081051300",Maspeth
"36081080301",Queensboro Hill
"36081080302",Queensboro Hill
"36081080900",Kew Gardens Hills
"36081081400",South Ozone Park
"36081081800",South Ozone Park
"36081052400",St. Albans
"36081052800",St. Albans
"36081053000",St. Albans
"36081061800",Laurelton
"36081061900",Middle Village
"36081062100",Middle Village
"36081063302",Glendale
"36081062400",park-cemetery-etc-Queens
"36081062600",Laurelton
"36081062700",Glendale
"36081062900",Glendale
"36081083700",Queensboro Hill
"36081083800",South Ozone Park
"36081084000",South Ozone Park
"36081084500",Flushing
"36081084601",South Ozone Park
"36081053401",Cambria Heights
"36081053900",Ridgewood
"36081053500",Maspeth
"36081053601",Queens Village
"36081054000",Queens Village
"36081063700",Glendale
"36081063800",Rosedale
"36081063900",Glendale
"36081064101",Woodhaven
"36081064102",park-cemetery-etc-Queens
"36081063301",Glendale
"36081063500",Glendale
"36081064500",Forest Hills
"36081086400",South Ozone Park
"36081064600",Laurelton
"36081065000",Laurelton
"36081084602",South Ozone Park
"36081086100",East Flushing
"36081086300",Murray Hill
"36081086500",Flushing
"36081087100",Flushing
"36081088400",Lindenwood-Howard Beach
"36081088901",Flushing
"36081089200",Lindenwood-Howard Beach
"36081054500",Ridgewood
"36081054200",Queens Village
"36081054700",Ridgewood
"36081054800",Queens Village
"36081065600",Rosedale
"36081065400",Rosedale
"36081065702",Middle Village
"36081065900",Middle Village
"36081066000",Rosedale
"36081047600",Jamaica Estates-Holliswood
"36081047800",Jamaica Estates-Holliswood
"36081047900",Elmhurst-Maspeth
"36081048300",Elmhurst-Maspeth
"36081048500",Elmhurst-Maspeth
"36081048900",Elmhurst-Maspeth
"36081056700",Glendale
"36081055900",Ridgewood
"36081056100",park-cemetery-etc-Queens
"36081056500",Glendale
"36081055200",Queens Village
"36081056800",Queens Village
"36081055300",Ridgewood
"36081055400",Queens Village
"36081055500",Ridgewood
"36081055700",Ridgewood
"36081055800",Queens Village
"36081057700",Glendale
"36081066501",Middle Village
"36081067700",Middle Village
"36081068000",Springfield Gardens South-Brookville
"36081068700",Rego Park
"36081068200",Laurelton
"36081066300",Middle Village
"36081066400",Rosedale
"36081069000",Springfield Gardens South-Brookville
"36081069500",Rego Park
"36081069300",Rego Park
"36081069400",Springfield Gardens South-Brookville
"36081069701",Rego Park
"36081145101",Auburndale
"36081138501",Oakland Gardens
"36081138502",park-cemetery-etc-Queens
"36081143500",Bayside-Bayside Hills
"36081144100",Bayside-Bayside Hills
"36081144700",Bayside-Bayside Hills
"36081145102",Bayside-Bayside Hills
"36081139900",Bayside-Bayside Hills
"36081140901",Bayside-Bayside Hills
"36081140902",Auburndale
"36081142900",Auburndale
"36081150701",Douglas Manor-Douglaston-Little Neck
"36081146300",Bayside-Bayside Hills
"36081146700",Bayside-Bayside Hills
"36081147100",Bayside-Bayside Hills
"36081147900",Douglas Manor-Douglaston-Little Neck
"36081148300",Douglas Manor-Douglaston-Little Neck
"36081073100",Forest Hills
"36081071600",Airport
"36081069702",Rego Park
"36081070700",Forest Hills
"36081071100",Forest Hills
"36081072900",Forest Hills
"36081073900",Forest Hills
"36081074300",Forest Hills
"36081074500",Forest Hills
"36081076902",Forest Hills
"36081073700",Forest Hills
"36081077300",Kew Gardens
"36081077500",Kew Gardens
"36081078800",Baisley Park
"36081077902",Kew Gardens Hills
"36081077903",Kew Gardens Hills
"36081077905",Kew Gardens Hills
"36081079200",Baisley Park
"36081079300",park-cemetery-etc-Queens
"36081079900",Queensboro Hill
"36081156700",Bellerose
"36081150702",Douglas Manor-Douglaston-Little Neck
"36081152901",Douglas Manor-Douglaston-Little Neck
"36081152902",Douglas Manor-Douglaston-Little Neck
"36081155101",Glen Oaks-Floral Park-New Hyde Park
"36081155102",Glen Oaks-Floral Park-New Hyde Park
"36081157903",Glen Oaks-Floral Park-New Hyde Park
"36081157101",Bellerose
"36081157901",Glen Oaks-Floral Park-New Hyde Park
"36081157902",Glen Oaks-Floral Park-New Hyde Park
"36081161700",Bellerose
"36081162100",Bellerose
"36081037900",North Corona
"36081048200",Hollis
"36081048400",Hollis
"36081119500",East Flushing
"36081119300",East Flushing
"36081119900",East Flushing
"36081120500",East Flushing
"36081120700",East Flushing
"36081121500",Queensboro Hill
"36081122300",Pomonok-Flushing Heights-Hillcrest
"36081122701",Pomonok-Flushing Heights-Hillcrest
"36081122702",Pomonok-Flushing Heights-Hillcrest
"36081124100",Pomonok-Flushing Heights-Hillcrest
"36081125700",Kew Gardens Hills
"36081126500",Pomonok-Flushing Heights-Hillcrest
"36081079000",Baisley Park
"36081126700",Pomonok-Flushing Heights-Hillcrest
"36081128300",park-cemetery-etc-Queens
"36081130100",Bellerose
"36081056600",Queens Village
"36081115100",Murray Hill
"36081120300",East Flushing
"36081066100",Middle Village
"36081103300",Whitestone
"36081133300",Fresh Meadows-Utopia
"36081134100",Fresh Meadows-Utopia
"36081134700",Fresh Meadows-Utopia
"36081136700",Oakland Gardens
"36081101002",Far Rockaway-Bayswater
